user_id,join_date,country,device_type,subscription_type
u035427,2020-07-12,JP,Mac,free
u271565,2022-12-21,JP,Windows,basic
u567533,2020-09-29,BR,iPhone,free
u872479,2021-07-12,AU,Android Phone,premium
u240781,2022-07-12,UK,Android Phone,premium
u288981,2022-12-20,MX,iPhone,enterprise
u223191,2023-05-13,UK,iPhone,basic
u075827,2020-03-03,AU,Mac,free
u513424,2021-10-18,BR,Mac,free
u776188,2021-10-14,UK,Android Phone,enterprise
u741304,2020-08-29,CA,Android Tablet,free
u998520,2020-12-13,US,Android Tablet,basic
u769966,2021-03-29,DE,Mac,free
u418109,2021-06-19,MX,Android Phone,enterprise
u378915,2021-02-20,IN,Android Tablet,premium
u317143,2021-11-17,DE,iPhone,enterprise
u021692,2022-09-13,MX,Android Phone,premium
u827131,2020-03-06,IN,Windows,enterprise
u736369,2021-10-28,FR,Android Phone,free
u961117,2023-07-03,CA,Windows,premium
u571553,2021-05-22,MX,iPad,premium
u830981,2022-07-28,MX,iPhone,free
u393858,2023-10-10,JP,iPad,premium
u011121,2022-07-10,BR,iPhone,premium
u142536,2022-12-15,CA,Android Phone,free
u294762,2021-01-30,MX,iPad,premium
u877678,2020-02-24,BR,iPhone,enterprise
u606673,2021-04-05,CA,Mac,premium
u449381,2020-12-09,AU,iPhone,basic
u367556,2021-01-15,FR,Android Tablet,enterprise
u579472,2023-05-03,FR,iPhone,free
u314104,2020-06-15,UK,Windows,basic
u228724,2021-10-28,IN,iPad,premium
u729378,2023-07-01,US,Android Phone,premium
u658646,2023-07-26,JP,Mac,enterprise
u431616,2023-08-09,CA,Mac,free
u221122,2020-04-27,DE,Mac,basic
u051865,2021-09-01,BR,Mac,basic
u121537,2020-05-02,DE,Windows,enterprise
u348605,2023-12-07,JP,iPhone,free
u648561,2021-02-07,FR,Windows,free
u337275,2020-11-02,MX,iPhone,basic
u494308,2021-12-06,DE,Android Phone,free
u903395,2020-09-26,CA,iPhone,free
u656942,2021-02-27,DE,Mac,free
u029798,2023-07-03,BR,Windows,free
u978389,2021-12-30,UK,iPad,premium
u860539,2020-03-07,AU,iPhone,premium
u688692,2022-11-20,FR,iPhone,enterprise
u104405,2022-04-12,IN,iPad,basic
u306108,2020-10-31,DE,Android Phone,free
u049310,2021-06-20,DE,Mac,enterprise
u504524,2023-02-01,CA,Android Phone,enterprise
u325789,2023-05-24,DE,Android Tablet,basic
u663271,2022-12-30,CA,Android Tablet,free
u022947,2021-06-08,DE,iPhone,premium
u978231,2020-08-08,DE,Android Phone,free
u978544,2021-09-07,AU,iPhone,enterprise
u066931,2021-09-28,FR,Android Phone,premium
u055244,2023-03-11,UK,Windows,basic
u883179,2020-04-10,JP,iPad,basic
u434964,2022-07-27,IN,Android Phone,basic
u286962,2022-09-23,AU,Android Tablet,free
u365601,2020-09-10,MX,Windows,enterprise
u758732,2021-10-31,MX,Android Phone,premium
u183637,2020-04-15,MX,Android Tablet,free
u029316,2020-01-16,US,Android Tablet,premium
u158022,2023-11-08,AU,iPhone,free
u456396,2022-05-06,JP,Windows,free
u274704,2023-11-15,MX,Windows,premium
u677664,2022-11-07,DE,Android Tablet,basic
u953224,2020-05-08,US,Android Phone,basic
u174229,2023-04-06,US,iPad,enterprise
u532270,2023-07-23,AU,Android Tablet,basic
u156072,2022-12-13,US,Android Tablet,basic
u705469,2022-02-28,MX,Mac,enterprise
u295827,2021-03-01,JP,Mac,premium
u581312,2020-07-31,MX,iPad,premium
u734252,2020-02-23,MX,Mac,premium
u820161,2020-08-29,IN,Android Phone,basic
u738124,2021-12-24,UK,Android Phone,basic
u122059,2020-05-08,CA,Mac,premium
u122318,2023-12-04,MX,iPad,premium
u530348,2020-08-05,IN,Mac,enterprise
u737326,2021-10-05,AU,iPhone,basic
u960167,2020-09-22,BR,Windows,enterprise
u959521,2021-01-05,US,Android Phone,free
u236307,2022-04-17,IN,iPhone,basic
u956810,2022-10-12,JP,iPad,enterprise
u182484,2021-04-11,BR,Android Tablet,enterprise
u501022,2021-06-17,UK,iPad,premium
u425558,2021-09-05,IN,iPad,premium
u676570,2022-10-13,IN,Windows,basic
u576934,2020-11-07,MX,Mac,premium
u839472,2022-09-14,US,iPad,free
u389760,2021-04-20,AU,Android Phone,enterprise
u009350,2022-07-03,US,Mac,basic
u411627,2022-02-13,DE,Android Tablet,enterprise
u560687,2022-08-28,MX,Windows,basic
u025713,2022-03-07,UK,Android Phone,premium
u333009,2021-10-08,IN,Android Phone,basic
u355568,2022-04-18,DE,Windows,premium
u070798,2022-12-11,JP,Android Tablet,enterprise
u319210,2022-02-20,CA,Android Phone,enterprise
u435280,2023-09-24,UK,Mac,premium
u095621,2023-04-16,CA,iPhone,basic
u440022,2022-09-05,AU,iPhone,premium
u916685,2022-10-19,IN,iPhone,free
u668211,2022-08-02,AU,Mac,premium
u627071,2023-11-18,BR,Mac,premium
u720116,2022-08-20,CA,iPhone,premium
u174673,2022-07-26,IN,iPad,free
u615676,2021-02-21,DE,Mac,basic
u674235,2022-10-05,FR,Android Tablet,basic
u516670,2022-11-30,AU,Android Tablet,free
u671457,2021-04-27,IN,Android Tablet,free
u673804,2023-09-02,DE,Mac,enterprise
u114852,2022-08-02,CA,Android Tablet,premium
u462342,2021-07-25,IN,Android Tablet,basic
u707034,2020-12-02,UK,iPhone,basic
u253297,2023-04-17,AU,iPhone,free
u627718,2020-02-15,US,Android Phone,enterprise
u215263,2023-10-05,DE,iPhone,free
u105094,2022-11-04,FR,Windows,free
u788662,2023-09-05,BR,iPad,enterprise
u255945,2023-07-06,CA,Mac,free
u938410,2022-11-27,US,iPad,premium
u727628,2022-01-23,US,iPhone,free
u126265,2023-12-20,JP,Android Phone,enterprise
u171973,2021-07-28,FR,Android Tablet,basic
u973986,2023-09-02,CA,Android Phone,enterprise
u879336,2020-03-15,IN,iPad,premium
u441833,2022-09-25,FR,Mac,free
u003937,2020-08-02,FR,Mac,free
u555183,2020-02-05,AU,iPad,premium
u064704,2023-09-16,IN,iPhone,free
u815746,2021-05-11,DE,Mac,premium
u338678,2021-06-01,BR,Android Tablet,free
u066514,2020-07-23,AU,Mac,enterprise
u242059,2020-03-27,IN,Android Tablet,premium
u253096,2022-06-30,MX,Windows,free
u897798,2023-06-21,IN,iPhone,basic
u389001,2023-03-14,US,Android Tablet,premium
u667910,2023-03-23,FR,iPhone,enterprise
u204556,2023-10-08,BR,iPad,free
u153400,2020-10-26,JP,Windows,enterprise
u309522,2023-09-17,IN,Android Phone,enterprise
u320397,2023-11-23,CA,Android Tablet,enterprise
u809973,2022-02-14,DE,Windows,basic
u527003,2022-06-26,DE,Mac,enterprise
u626146,2022-01-25,MX,iPad,free
u505824,2023-08-05,FR,iPhone,basic
u446378,2021-01-16,DE,Android Tablet,free
u846068,2023-07-25,FR,Android Phone,free
u806816,2020-10-23,FR,Mac,premium
u863703,2022-06-05,US,Android Phone,enterprise
u084246,2020-03-12,CA,Mac,basic
u195056,2022-11-02,IN,Android Tablet,enterprise
u597100,2023-12-15,FR,Mac,premium
u950394,2020-10-09,BR,iPhone,basic
u594293,2022-03-11,IN,Android Phone,basic
u062621,2021-09-04,DE,iPhone,enterprise
u757019,2022-05-02,DE,Android Tablet,free
u057886,2023-01-04,BR,iPad,premium
u408406,2021-03-16,FR,iPhone,enterprise
u442518,2022-11-01,CA,Android Phone,premium
u064059,2021-12-31,CA,iPhone,enterprise
u130735,2022-12-09,BR,iPad,basic
u401555,2023-08-01,MX,iPad,basic
u677395,2022-05-05,FR,Mac,enterprise
u762872,2022-01-22,JP,Android Phone,free
u052808,2021-10-12,AU,Windows,premium
u791607,2021-04-09,CA,iPad,enterprise
u816978,2022-02-03,CA,Mac,basic
u528330,2020-09-07,BR,Android Tablet,free
u271446,2022-01-21,AU,Android Tablet,enterprise
u023553,2021-05-18,FR,Mac,enterprise
u544575,2021-09-11,FR,Mac,free
u734213,2021-02-02,IN,iPhone,enterprise
u960987,2020-07-20,FR,Mac,basic
u201962,2021-10-07,DE,Windows,free
u436785,2022-04-09,DE,Android Phone,free
u266583,2023-03-28,AU,iPhone,basic
u178254,2020-09-18,JP,Windows,enterprise
u973084,2023-12-21,DE,Windows,basic
u990105,2023-11-20,UK,iPhone,basic
u599120,2022-03-08,US,Mac,free
u776568,2021-03-20,JP,Mac,enterprise
u832593,2023-10-28,UK,iPhone,enterprise
u630067,2021-09-01,BR,iPad,enterprise
u771793,2023-04-25,DE,Mac,enterprise
u611182,2022-11-03,BR,Android Tablet,free
u661172,2020-06-16,MX,Android Phone,basic
u616394,2023-02-23,AU,Mac,basic
u561522,2020-04-09,UK,Android Tablet,basic
u425197,2022-12-26,MX,iPad,free
u110264,2022-09-09,FR,Android Phone,basic
u116088,2021-03-19,FR,iPhone,basic
u401782,2023-12-04,MX,Android Phone,premium
u708131,2023-12-17,BR,Windows,free
u401949,2022-08-15,US,iPad,enterprise
u445220,2020-04-17,CA,Android Tablet,enterprise
u023305,2021-01-29,BR,Mac,premium
u017299,2022-03-22,JP,iPhone,free
u595537,2020-11-26,US,iPad,enterprise
u736589,2023-09-01,MX,iPhone,basic
u588361,2022-04-29,JP,Mac,enterprise
u702039,2021-01-27,UK,Windows,free
u066779,2021-07-12,AU,iPad,free
u561596,2023-04-05,AU,iPhone,premium
u233817,2021-12-31,AU,iPad,basic
u253480,2023-04-15,DE,Android Tablet,free
u249328,2021-03-14,IN,iPhone,premium
u515801,2021-12-22,DE,iPad,premium
u376260,2020-11-02,BR,Mac,premium
u731074,2022-02-22,BR,Windows,premium
u256525,2020-05-12,MX,Android Phone,premium
u280259,2023-12-17,AU,iPad,basic
u522336,2020-11-27,IN,iPad,premium
u214700,2021-08-22,JP,iPad,premium
u825016,2020-03-15,AU,Mac,enterprise
u294795,2022-03-25,DE,Mac,basic
u535895,2020-01-30,UK,iPhone,free
u811822,2022-10-30,CA,Android Tablet,enterprise
u103135,2023-05-17,BR,iPhone,enterprise
u316863,2023-05-14,BR,iPhone,basic
u494153,2023-09-17,CA,iPad,free
u850673,2021-08-16,US,iPhone,basic
u748661,2022-08-05,UK,Android Tablet,premium
u542209,2023-10-24,MX,Mac,premium
u967367,2021-05-21,US,iPad,free
u655418,2022-12-29,FR,Android Phone,enterprise
u108597,2023-09-09,DE,Windows,premium
u512910,2022-10-07,IN,Mac,premium
u096166,2021-04-02,JP,Mac,enterprise
u754063,2020-11-24,FR,Android Tablet,enterprise
u988917,2023-05-09,UK,Windows,free
u999997,2023-03-11,IN,iPhone,basic
u220138,2020-11-04,CA,Android Phone,free
u451977,2021-01-09,FR,iPhone,enterprise
u163911,2023-11-23,IN,iPad,enterprise
u318766,2021-03-01,DE,Windows,enterprise
u426969,2021-08-16,JP,Mac,premium
u618601,2023-04-01,UK,iPhone,basic
u481490,2022-09-14,DE,Windows,basic
u783350,2020-12-21,DE,Android Tablet,basic
u100576,2021-08-04,FR,Android Tablet,basic
u211059,2020-12-28,CA,Android Phone,basic
u275903,2023-04-02,CA,Windows,enterprise
u801808,2022-02-26,BR,Mac,basic
u703396,2023-10-03,FR,Android Tablet,basic
u538831,2020-03-15,IN,iPhone,premium
u770644,2023-12-02,CA,Mac,premium
u692988,2021-10-29,CA,iPad,free
u794401,2021-06-18,JP,Android Phone,premium
u062636,2021-04-15,FR,Mac,premium
u305960,2023-04-25,US,Android Phone,enterprise
u842657,2021-12-24,DE,Windows,basic
u818372,2023-12-07,CA,Windows,free
u832520,2022-10-30,AU,Windows,premium
u425709,2023-08-10,FR,Android Phone,free
u021041,2023-05-18,US,Mac,premium
u002405,2021-09-02,AU,Windows,basic
u343305,2021-08-02,US,Android Phone,enterprise
u039229,2023-10-14,AU,iPad,premium
u427635,2021-11-14,AU,iPhone,premium
u800645,2022-11-05,CA,Windows,free
u792913,2021-05-17,FR,Android Phone,enterprise
u706045,2020-08-02,DE,Mac,enterprise
u207637,2021-03-26,BR,Windows,basic
u017129,2022-04-13,AU,iPhone,free
u281533,2023-03-20,FR,iPhone,premium
u839356,2022-06-20,IN,Android Tablet,premium
u881964,2023-01-05,US,Android Phone,enterprise
u827473,2020-01-23,IN,Windows,premium
u099611,2020-04-30,JP,iPad,premium
u527288,2023-12-26,AU,iPhone,premium
u419301,2020-06-06,JP,Windows,free
u564009,2021-09-27,BR,Mac,premium
u129660,2021-11-18,BR,iPhone,premium
u661545,2020-04-12,JP,iPad,enterprise
u761714,2022-10-09,UK,Mac,enterprise
u460050,2022-10-15,DE,Mac,free
u900868,2020-02-13,BR,Android Tablet,premium
u692314,2023-06-04,FR,iPad,free
u547231,2020-09-03,JP,Mac,basic
u213987,2023-06-24,JP,iPhone,enterprise
u101060,2020-12-18,DE,iPhone,enterprise
u512833,2022-10-16,IN,iPad,basic
u375724,2020-06-28,CA,iPhone,premium
u752007,2021-04-13,UK,Windows,free
u056561,2021-04-30,BR,Windows,enterprise
u395305,2020-03-23,FR,Android Tablet,enterprise
u418112,2023-02-04,JP,iPad,basic
u533957,2021-06-27,JP,Windows,basic
u314940,2023-02-15,BR,Android Phone,premium
u761013,2023-01-20,BR,Mac,premium
u008857,2020-12-28,IN,Android Tablet,basic
u926328,2022-07-07,MX,Mac,enterprise
u343620,2020-06-16,JP,Mac,free
u272589,2021-07-13,MX,Mac,enterprise
u004428,2021-07-28,CA,Windows,enterprise
u126066,2023-08-10,JP,Android Phone,basic
u366181,2021-09-15,MX,Mac,basic
u492163,2020-12-08,MX,Windows,premium
u646200,2020-11-03,DE,iPad,free
u058541,2023-08-09,MX,iPad,basic
u702453,2021-11-06,IN,Android Phone,free
u076681,2021-06-19,AU,iPhone,free
u139595,2022-12-24,IN,Android Phone,enterprise
u177394,2022-01-12,MX,iPhone,premium
u545645,2023-02-27,DE,iPhone,premium
u165761,2023-09-26,IN,iPhone,basic
u996461,2023-10-17,UK,Mac,free
u795855,2020-10-01,JP,Mac,enterprise
u305192,2020-01-10,DE,Mac,enterprise
u617382,2021-12-25,DE,Android Tablet,premium
u190390,2023-04-01,FR,Windows,free
u011396,2022-09-26,FR,iPad,basic
u812147,2023-02-01,MX,Android Tablet,premium
u770820,2023-06-09,MX,Mac,basic
u956616,2021-07-17,MX,Windows,premium
u612973,2020-06-30,IN,Android Phone,premium
u630570,2022-09-27,JP,iPad,free
u100110,2021-08-30,UK,Windows,premium
u676074,2023-03-08,US,Android Tablet,free
u307964,2021-11-17,FR,Android Tablet,free
u559532,2022-06-23,DE,iPad,basic
u397974,2020-09-16,US,Windows,free
u080948,2023-08-08,AU,Android Phone,free
u073389,2023-08-21,AU,Android Phone,premium
u204646,2022-11-24,IN,Android Phone,free
u502566,2020-09-30,AU,iPad,premium
u561062,2021-12-12,BR,iPad,free
u546029,2020-11-10,UK,iPad,basic
u915635,2022-12-07,IN,iPad,premium
u525924,2023-01-11,UK,Mac,enterprise
u743510,2023-07-19,MX,Windows,premium
u002109,2021-06-24,BR,Android Tablet,free
u798073,2023-09-20,DE,Android Tablet,premium
u740047,2020-11-12,DE,Android Tablet,basic
u272364,2023-09-15,JP,Mac,enterprise
u318809,2020-10-18,UK,Android Tablet,free
u252557,2021-06-18,BR,Android Phone,free
u604517,2020-05-02,FR,iPhone,premium
u251055,2021-03-17,UK,iPad,basic
u845411,2022-05-13,CA,Android Phone,enterprise
u384936,2021-07-29,UK,Android Phone,free
u559773,2021-03-20,US,Mac,enterprise
u545558,2022-08-28,CA,Android Phone,premium
u697428,2020-01-16,CA,Mac,enterprise
u622527,2021-12-10,UK,iPad,enterprise
u926404,2021-08-30,FR,Android Phone,premium
u147062,2021-06-16,BR,Windows,premium
u596387,2021-07-08,AU,Mac,premium
